"NLists" "NSppDetec"
"62" 1 1
"220" 2 1
"222" 2 2
"239" 1 1
"246" 3 2
"272" 1 1
"291" 3 1
"293" 1 1
"314" 2 1
"316" 1 1
"318" 1 1
"340" 1 1
"366" 1 1
"407" 1 1
"413" 2 1
"470" 1 1
"472" 1 1
"478" 1 1
"501" 1 1
"503" 1 1
"530" 2 1
"547" 1 1
"558" 2 1
"608" 1 1
"625" 1 1
"627" 3 1
"628" 1 1
"632" 1 1
"646" 6 2
"683" 2 1
"687" 1 1
"692" 2 1
"699" 4 1
"710" 2 1
"720" 3 1
"721" 3 1
"730" 1 1
"731" 1 1
"732" 3 1
"741" 1 1
"742" 4 1
"743" 3 1
"749" 2 1
"751" 1 1
"752" 6 1
"760" 3 2
"761" 2 1
"762" 1 1
"770" 1 1
"772" 8 1
"782" 3 1
"790" 3 1
"791" 1 1
"792" 2 1
"800" 2 1
"804" 2 1
"809" 2 1
"816" 1 1
"823" 1 1
"825" 2 1
"831" 1 1
"833" 1 1
"865" 1 1
"879" 5 2
"880" 1 1
"887" 1 1
"889" 1 1
"896" 1 1
"905" 6 2
"910" 2 1
"912" 2 2
"913" 2 1
"918" 1 1
"920" 2 2
"921" 2 1
"922" 3 1
"928" 1 1
"930" 2 2
"931" 1 1
"939" 4 2
"940" 6 1
"941" 1 1
"949" 3 1
"950" 1 1
"951" 2 1
"957" 1 1
"960" 1 1
"961" 3 2
"962" 3 1
"970" 3 2
"972" 8 1
"980" 1 1
"981" 1 1
"982" 8 2
"983" 6 1
"994" 2 1
"995" 3 1
"996" 8 2
"997" 1 1
"1007" 1 1
"1008" 7 1
"1009" 18 1
"1012" 1 1
"1021" 1 1
"1022" 2 1
"1023" 4 2
"1024" 30 1
"1025" 3 1
"1026" 1 1
"1027" 1 1
"1036" 1 1
"1037" 2 2
"1038" 12 1
"1039" 6 1
"1040" 3 1
"1041" 2 1
"1049" 1 1
"1050" 1 1
"1052" 17 1
"1053" 15 1
"1054" 2 1
"1055" 1 1
"1064" 1 1
"1065" 2 1
"1066" 15 1
"1067" 31 1
"1068" 13 1
"1069" 1 1
"1070" 2 1
"1078" 1 1
"1079" 2 2
"1081" 6 1
"1082" 10 1
"1083" 2 1
"1095" 5 1
"1096" 15 1
"1097" 3 1
"1105" 5 2
"1109" 3 1
"1110" 5 1
"1111" 5 1
"1112" 2 1
"1119" 1 1
"1121" 2 1
"1122" 2 1
"1123" 1 1
"1124" 8 1
"1125" 6 1
"1134" 4 2
"1135" 2 1
"1136" 2 1
"1137" 11 1
"1138" 2 1
"1148" 2 2
"1149" 1 1
"1151" 14 2
"1154" 1 1
"1161" 3 1
"1162" 1 1
"1163" 13 1
"1164" 1 1
"1171" 1 1
"1175" 5 1
"1177" 12 1
"1185" 1 1
"1187" 1 1
"1189" 1 1
