"NLists" "NSppDetec"
"8484" 1 1
"8676" 1 1
"8726" 1 1
"8775" 5 2
"8777" 2 2
"8822" 1 1
"8828" 1 1
"8867" 2 1
"8868" 2 2
"8872" 1 1
"8913" 3 2
"8914" 3 1
"9005" 1 1
"9061" 2 2
"9094" 1 1
"9106" 1 1
"9152" 4 3
"9178" 1 1
"9195" 1 1
"9221" 2 1
"9223" 2 1
"9238" 2 2
"9263" 1 1
"9651" 1 1
"10000" 1 1
"10123" 1 1
"10125" 1 1
"10145" 1 1
"10149" 1 1
"10195" 1 1
"10217" 2 2
"10260" 3 3
"10284" 1 1
"10370" 1 1
"10429" 1 1
"10477" 1 1
"10514" 1 1
"10571" 4 2
"10588" 1 1
"10608" 2 1
"10609" 2 2
"10626" 1 1
"10642" 1 1
"10649" 4 1
"10671" 1 1
"10691" 7 3
"10728" 1 1
"10745" 2 2
"10776" 1 1
"10779" 2 2
"10780" 1 1
"10797" 4 2
"10798" 1 1
"10813" 1 1
"10817" 1 1
"10818" 4 2
"10819" 1 1
"10820" 3 2
"10821" 1 1
"10841" 2 2
"10842" 1 1
"10859" 9 3
"10880" 2 1
"10881" 4 2
"10903" 6 2
"10904" 1 1
"10918" 1 1
"10919" 1 1
"10923" 1 1
"10972" 1 1
"10979" 1 1
"10990" 1 1
"11032" 1 1
"11034" 2 1
"11036" 1 1
"11059" 6 1
"11061" 2 1
"11076" 1 1
"11083" 1 1
"11084" 1 1
"11090" 7 2
"11095" 7 2
"11115" 1 1
"11118" 2 1
"11120" 4 1
"11151" 7 2
"11163" 1 1
"11171" 1 1
"11180" 2 1
"11182" 8 1
"11193" 1 1
"11194" 1 1
"11201" 3 1
"11202" 1 1
"11203" 2 1
"11211" 2 1
"11212" 8 1
"11233" 2 1
"11243" 13 1
"11244" 2 1
"11257" 1 1
"11258" 3 2
"11266" 1 1
"11267" 3 1
"11270" 1 1
"11276" 3 2
"11277" 14 1
"11291" 2 1
"11293" 1 1
"11294" 1 1
"11299" 2 1
"11309" 2 1
"11310" 2 1
"11326" 1 1
"11327" 2 1
"11328" 1 1
"11329" 4 1
"11334" 1 1
"11336" 1 1
"11345" 10 1
"11364" 1 1
"11368" 1 1
"11369" 1 1
"11379" 2 1
"11380" 2 1
"11399" 1 1
"11404" 1 1
"11415" 9 2
"11416" 4 1
"11427" 1 1
"11440" 3 1
"11450" 2 1
"11451" 10 1
"11487" 4 2
"11488" 8 1
"11504" 1 1
"11511" 2 1
"11524" 1 1
"11525" 17 1
"11543" 1 1
"11549" 2 1
"11550" 1 1
"11551" 1 1
"11562" 3 1
"11563" 6 1
"11580" 1 1
"11585" 1 1
"11589" 2 1
"11602" 2 1
"11603" 14 1
"11623" 1 1
"11625" 1 1
"11626" 1 1
"11627" 2 1
"11629" 2 1
"11641" 15 1
"11642" 3 1
"11661" 2 1
"11678" 1 1
"11679" 1 1
"11680" 13 1
"11685" 1 1
"11701" 1 1
"11703" 1 1
"11705" 1 1
"11718" 1 1
"11719" 11 1
"11725" 3 1
"11739" 2 1
"11745" 1 1
"11759" 6 2
"11782" 1 1
"11783" 1 1
"11784" 1 1
"11786" 1 1
"11787" 1 1
"11800" 6 2
"11801" 37 2
"11802" 9 1
"11804" 1 1
"11806" 1 1
"11823" 1 1
"11824" 2 1
"11825" 1 1
"11828" 2 2
"11842" 4 1
"11843" 11 1
"11844" 33 1
"11845" 2 1
"11865" 1 1
"11885" 6 1
"11886" 11 1
"11887" 1 1
"11903" 1 1
"11908" 1 1
"11925" 3 1
"11926" 6 2
"11927" 25 2
"11928" 53 1
"11929" 8 1
"11930" 4 1
"11946" 2 1
"11955" 1 1
"11967" 2 1
"11968" 36 2
"11969" 3 2
"11970" 23 1
"11971" 39 2
"11972" 3 1
"11989" 1 1
"11992" 3 1
"12008" 1 1
"12009" 2 1
"12010" 15 2
"12011" 18 2
"12012" 20 1
"12013" 16 1
"12029" 1 1
"12030" 2 1
"12032" 2 1
"12034" 1 1
"12039" 1 1
"12040" 1 1
"12046" 1 1
"12048" 2 1
"12049" 2 1
"12050" 1 1
"12051" 46 2
"12052" 10 1
"12089" 5 2
"12090" 27 2
"12091" 58 2
"12115" 1 1
"12130" 59 2
"12131" 33 2
"12132" 26 1
"12150" 1 1
"12168" 2 1
"12169" 9 2
"12170" 37 1
"12172" 2 1
"12190" 1 1
"12210" 18 2
"12211" 33 1
"12212" 18 1
"12231" 1 1
"12249" 1 1
"12251" 27 1
"12253" 2 1
"12254" 2 1
"12272" 1 1
"12288" 1 1
"12291" 1 1
"12294" 4 1
"12296" 6 1
"12336" 13 2
"12337" 8 1
"12338" 14 1
"12356" 1 1
"12364" 1 1
"12380" 5 1
"12381" 18 1
"12400" 1 1
"12421" 8 2
"12422" 5 1
"12423" 8 2
"12448" 2 1
"12461" 1 1
"12462" 2 1
"12463" 2 1
"12464" 5 1
"12465" 8 1
"12466" 4 1
"12506" 3 1
"12507" 10 1
"12508" 12 2
"12516" 1 1
"12532" 1 1
"12546" 1 1
"12547" 18 1
"12548" 7 1
"12549" 17 1
"12587" 9 2
"12588" 7 1
"12589" 8 2
"12590" 18 1
"12598" 1 1
"12612" 2 1
"12628" 22 2
"12629" 11 1
"12630" 14 1
"12668" 3 2
"12669" 1 1
"12670" 3 1
"12671" 21 1
"12679" 1 1
"12696" 1 1
"12711" 4 1
"12712" 32 2
"12713" 1 1
"12752" 5 1
"12753" 38 1
"12783" 1 1
"12793" 7 1
"12794" 5 1
"12795" 10 1
"12813" 1 1
"12817" 1 1
"12834" 1 1
"12835" 1 1
"12836" 1 1
"12837" 9 1
"12875" 1 1
"12876" 5 1
"12878" 3 1
"12921" 13 1
"12963" 2 1
"12967" 6 1
"12995" 2 1
"13007" 1 1
"13013" 2 1
"13014" 4 1
"13052" 1 1
"13054" 2 1
"13055" 2 1
"13056" 3 1
"13096" 1 1
"13118" 2 1
"13122" 2 1
"13140" 1 1
"13141" 1 1
"13180" 1 1
"13181" 4 1
"13184" 1 1
"13208" 1 1
"13210" 2 1
"13224" 3 1
"13226" 4 1
"13263" 1 1
"13266" 4 1
"13267" 1 1
"13268" 3 1
"13291" 2 1
"13292" 1 1
"13304" 1 1
"13307" 3 2
"13348" 2 1
"13349" 4 1
"13384" 1 1
"13391" 2 1
"13432" 1 1
"13478" 1 1
"13532" 1 1
"13579" 2 2
"13604" 1 1
"13617" 1 1
"13623" 1 1
"13627" 2 1
"13633" 1 1
"13642" 1 1
"13673" 1 1
"13698" 1 1
"13724" 1 1
"13749" 1 1
"13752" 1 1
"13760" 1 1
"13770" 1 1
"13847" 1 1
"13894" 2 1
"13895" 1 1
"13944" 2 1
"13952" 2 1
"13993" 1 1
"13995" 1 1
"14030" 3 2
"14041" 1 1
"14055" 1 1
"14059" 2 1
"14103" 1 1
"14128" 1 1
"14129" 1 1
"14180" 1 1
"14182" 2 1
"14184" 2 2
"14206" 1 1
"14230" 1 1
"14232" 1 1
"14233" 1 1
"14276" 1 1
"14277" 1 1
"14278" 1 1
"14280" 4 1
"14324" 1 1
"14355" 1 1
"14370" 1 1
"14372" 1 1
"14393" 2 1
"14410" 2 1
"14415" 1 1
"14417" 3 1
"14464" 2 1
"14465" 2 1
"14507" 1 1
"14511" 1 1
"14513" 2 1
"14515" 3 2
"14553" 1 1
"14556" 1 1
"14561" 1 1
"14602" 1 1
"14608" 2 1
"14669" 1 1
"14697" 1 1
"14790" 2 1
"14881" 1 1
"14923" 1 1
"14968" 1 1
"14974" 2 1
"15044" 1 1
"15096" 1 1
"15207" 1 1
"15219" 1 1
"15327" 1 1
"15540" 2 1
"15656" 181 1
"15665" 1 1
"15708" 1 1
"15710" 1 1
"15711" 3 2
"15760" 1 1
"15763" 14 2
"15864" 1 1
"15870" 2 1
"15875" 1 1
"15911" 2 1
"15920" 1 1
"15921" 1 1
"15980" 1 1
"15986" 1 1
"16079" 1 1
"16103" 1 1
"16209" 1 1
"16212" 2 2
"16266" 1 1
"16271" 2 1
"16277" 1 1
"16286" 3 1
"16287" 1 1
"16329" 1 1
"16340" 1 1
"16344" 1 1
"16389" 3 1
"16394" 1 1
"16463" 1 1
"16504" 2 1
"16505" 1 1
"16516" 1 1
"16562" 1 1
"16563" 14 2
"16568" 1 1
"16571" 1 1
"16573" 2 1
"16578" 10 1
"16620" 4 2
"16626" 2 1
"16627" 1 1
"16631" 1 1
"16675" 1 1
"16679" 1 1
"16732" 1 1
"16751" 1 1
"16785" 1 1
"16793" 2 1
"17014" 1 1
"17185" 1 1
"17249" 1 1
"17312" 2 2
"17338" 1 1
"17373" 1 1
"17393" 1 1
"17428" 1 1
"17449" 1 1
"17479" 1 1
"17485" 2 1
"17584" 1 1
"17625" 1 1
"17643" 1 1
"17668" 1 1
"17716" 1 1
"17725" 1 1
"17787" 1 1
"17850" 2 1
"17899" 1 1
"17917" 1 1
"17918" 1 1
"17995" 1 1
"18104" 1 1
"18165" 1 1
"18166" 1 1
"18200" 1 1
"18226" 1 1
"18227" 2 1
"18231" 2 2
"18239" 1 1
"18358" 1 1
"18372" 3 1
"18373" 1 1
"18374" 1 1
"18375" 1 1
"18422" 1 1
"18436" 2 1
"18439" 1 1
"18485" 2 1
"18486" 2 1
"18487" 1 1
"18490" 1 1
"18497" 1 1
"18548" 1 1
"18551" 1 1
"18565" 1 1
"18567" 3 2
"18695" 1 1
"18738" 1 1
"18808" 1 1
"18810" 1 1
"18820" 15 1
"18847" 1 1
"18943" 1 1
"18996" 1 1
"19064" 1 1
"19111" 3 2
"19112" 2 1
"19113" 1 1
"19157" 5 1
"19167" 1 1
"19168" 7 1
"19223" 4 1
"19224" 6 1
"19272" 13 2
"19281" 13 1
"19284" 1 1
"19290" 1 1
"19336" 30 2
"19337" 2 1
"19389" 9 1
"19391" 5 1
"19398" 2 1
"19440" 1 1
"19441" 6 1
"19496" 3 1
"19497" 1 1
"19498" 8 1
"19606" 2 1
"19607" 4 1
"19661" 3 1
"19718" 3 1
"19784" 2 1
"19844" 1 1
"19910" 3 2
"19976" 6 1
"19984" 1 1
"20105" 1 1
"20106" 11 1
"20108" 1 1
"20109" 1 1
"20170" 1 1
"20201" 3 1
"20233" 2 1
"20234" 1 1
"20240" 1 1
"20262" 1 1
"20265" 24 1
"20273" 1 1
"20274" 1 1
"20328" 8 1
"20329" 27 1
"20330" 26 2
"20332" 14 1
"20336" 1 1
"20337" 1 1
"20338" 2 1
"20390" 13 1
"20392" 50 1
"20393" 41 2
"20394" 8 1
"20395" 9 2
"20397" 4 2
"20451" 28 1
"20454" 22 1
"20455" 1 1
"20514" 15 1
"20594" 1 1
"20652" 3 1
"20691" 1 1
"20767" 1 1
"21058" 1 1
"21311" 85 4
"21353" 1 1
"21474" 1 1
"21532" 1 1
"21787" 2 1
"22259" 1 1
"22343" 2 1
"22388" 2 1
"22494" 1 1
"22536" 1 1
"22573" 1 1
"22639" 1 1
"22756" 1 1
"22809" 1 1
"22862" 1 1
"22863" 1 1
"23217" 1 1
"23271" 1 1
"23313" 3 1
"23322" 3 1
"23374" 4 1
"23375" 1 1
"23467" 1 1
"23569" 1 1
"23631" 1 1
"23724" 1 1
"23777" 7 1
"23881" 1 1
"23889" 1 1
"23975" 1 1
"24026" 1 1
"24072" 1 1
"24074" 1 1
"24125" 2 1
"24127" 2 1
"24128" 1 1
"24178" 8 1
"24182" 1 1
"24228" 4 1
"24229" 2 1
"24230" 4 1
"24231" 1 1
"24278" 1 1
"24284" 1 1
"24403" 1 1
"24756" 2 1
"24928" 1 1
"24938" 1 1
"25043" 1 1
"25216" 1 1
"25327" 1 1
"25683" 1 1
"25788" 1 1
"25864" 2 1
"25876" 2 1
"25933" 2 1
"25934" 1 1
"25970" 1 1
"26230" 1 1
"26341" 1 1
"26795" 2 1
"27004" 3 1
"27093" 2 1
"27107" 1 1
"27175" 1 1
"27676" 1 1
