"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"368" NA NA NA NA 0 NA NA NA NA NA NA NA
"391" NA NA NA NA NA 0 NA NA NA NA NA NA
"414" NA NA NA NA 0 0 NA NA 0 0 0 NA
"416" NA NA NA NA NA 0 NA NA NA NA NA NA
"437" NA NA NA NA 0 NA NA NA 0 0 0 NA
"459" NA NA NA NA NA NA NA NA 0 0 NA NA
"461" NA NA NA NA 0 0 NA NA NA NA NA NA
"482" NA NA NA 0 0 0 NA NA 0 0 NA NA
"483" NA NA NA NA NA 0 NA NA NA 0 NA NA
"504" NA NA NA 0 0 NA NA NA 0 0 NA NA
"505" NA NA NA NA NA 0 NA NA 0 NA NA NA
"526" NA NA NA 0 0 0 NA NA 0 0 NA NA
"527" NA NA NA NA 0 NA NA NA NA NA NA NA
"547" NA NA NA NA 0 NA NA NA 0 NA NA NA
"548" NA NA NA NA 0 0 NA NA 0 NA NA NA
"549" NA NA NA NA 0 0 NA NA NA NA NA NA
"569" NA NA NA NA 0 0 NA NA 0 NA 0 NA
"570" NA NA NA NA 0 0 NA NA 0 0 NA NA
"571" NA NA NA NA NA 0 NA NA NA NA NA NA
"591" NA NA NA NA 0 NA NA NA 0 0 NA NA
"592" NA NA NA NA 0 0 NA NA NA 0 NA NA
"611" NA NA NA NA NA NA NA NA 0 NA NA NA
"612" NA NA NA NA 0 0 NA NA 0 0 NA NA
"613" NA NA NA NA NA 0 NA NA NA NA NA NA
"632" NA NA NA NA 0 NA NA NA 0 0 NA NA
"633" NA NA NA 0 0 NA NA NA NA NA NA NA
"651" NA NA NA 0 0 NA NA NA 0 0 NA NA
"652" NA NA NA NA 0 NA NA NA NA NA 0 NA
"668" NA NA NA 0 0 NA NA NA NA 0 NA NA
"670" NA NA NA NA 0 0 NA NA NA 0 NA NA
"671" NA NA NA 0 0 0 NA NA 0 NA NA NA
"685" NA NA NA 0 NA NA NA NA 0 0 NA NA
"686" NA NA NA NA 0 NA NA NA 0 NA 0 NA
"687" NA NA NA NA 0 0 NA NA 0 0 0 NA
"698" NA NA NA NA NA NA NA NA 0 0 NA NA
"699" NA NA NA NA 0 0 NA NA NA 0 0 NA
"700" NA NA NA NA 0 NA NA NA NA NA 0 NA
"709" NA NA NA 0 0 NA NA NA 0 0 NA NA
"710" NA NA NA NA NA NA NA NA NA 0 NA NA
"720" NA NA NA 0 0 0 NA NA 0 0 NA NA
"722" NA NA NA NA 0 NA NA NA NA 0 NA NA
"733" NA NA NA NA NA 0 NA NA 0 0 NA NA
"742" NA NA NA 0 0 0 NA NA 0 NA NA NA
"752" NA NA NA NA 0 0 NA NA NA 0 0 NA
"753" NA NA NA 0 0 0 NA NA 0 0 0 NA
"762" NA NA NA 0 0 0 NA NA NA 0 NA NA
"763" NA NA NA NA NA NA NA NA NA 0 NA NA
"772" NA NA NA NA 0 NA NA NA 0 NA NA NA
"773" NA NA NA NA 0 NA NA NA 0 0 NA NA
"782" NA NA NA NA NA NA NA NA NA 0 NA NA
"792" NA NA NA NA NA 0 NA NA 0 0 NA NA
"801" NA NA NA 0 0 0 NA NA 0 0 NA NA
"810" NA NA NA NA NA 0 NA NA NA NA NA NA
"828" NA NA NA NA NA 0 NA NA NA NA NA NA
"842" NA NA NA 0 NA NA NA NA NA NA NA NA
"858" NA NA NA NA NA NA NA NA NA NA 0 NA
"1110" NA NA NA NA NA NA NA NA 0 NA NA NA
"1286" NA NA NA NA NA NA 0 NA NA NA NA NA
"1303" NA NA NA 0 NA NA NA NA 0 0 NA NA
"1336" NA NA NA NA NA 0 NA NA 0 NA NA NA
"1353" NA NA NA NA 0 0 NA NA 0 NA NA NA
"1985" 0 NA NA NA NA NA NA NA NA NA NA NA
"2010" 0 NA NA NA NA NA NA NA NA NA NA NA
"2124" NA NA NA 0 NA NA NA NA NA NA NA NA
"2137" NA NA NA NA NA NA NA NA 0 NA NA NA
"2142" 0 NA NA NA NA NA NA NA NA NA NA NA
"2161" 0 NA NA NA NA NA NA NA NA NA NA NA
"2163" NA 0 NA NA NA NA NA NA NA NA NA NA
"2275" NA NA NA NA NA 0 NA NA NA NA NA NA
"2281" NA NA NA NA NA NA NA NA NA 0 NA NA
"2403" NA NA NA NA NA NA NA 0 NA 0 NA NA
"2415" NA NA NA 0 NA NA NA NA NA NA NA NA
"2545" NA NA NA NA NA NA NA NA NA NA 0 NA
"2584" NA NA 0 NA NA NA NA NA NA NA NA NA
"2866" NA NA NA NA NA NA NA NA NA 0 NA NA
"2897" 0 NA NA NA NA NA NA NA NA NA NA NA
"2931" NA NA NA NA NA NA NA NA NA 0 NA NA
"2935" 0 NA NA NA NA NA NA NA NA NA NA NA
"3094" NA 0 NA NA NA NA NA NA NA NA NA NA
"4385" NA NA NA NA NA 1 1 NA NA NA NA NA
"4419" NA NA NA NA 1 1 1 NA NA NA NA NA
"4452" NA NA NA NA 1 1 1 NA NA NA NA NA
"4484" NA NA NA NA NA NA 1 NA NA NA NA NA
"4485" NA NA NA NA 1 1 1 NA NA NA NA NA
"4517" NA NA NA NA 1 1 1 NA NA NA NA NA
"4548" NA NA NA NA 0 NA NA NA NA NA NA NA
"4549" NA NA NA NA 1 1 1 1 NA NA NA NA
"4579" NA 0 NA NA NA NA NA NA NA NA NA NA
"4581" NA NA NA NA 1 1 0 NA NA NA NA NA
"4613" NA NA NA NA 0 0 0 NA NA NA NA NA
"4634" NA NA NA NA NA NA NA 0 NA NA NA NA
"4642" NA 0 NA NA NA NA NA NA NA NA NA NA
"4695" NA NA NA NA NA 0 NA NA NA NA NA NA
"4913" NA NA NA NA NA NA NA NA 0 NA NA NA
"4934" 0 NA NA NA 0 NA NA NA NA NA NA NA
"5005" NA NA NA NA NA NA NA NA NA NA NA 0
"5006" NA NA NA NA NA 1 NA NA 0 0 NA NA
"5039" NA NA NA NA 0 1 0 1 1 0 NA NA
"5056" NA NA NA NA NA NA NA NA 0 NA NA NA
"5071" NA NA NA NA NA 0 1 0 0 NA NA 1
"5082" NA 0 NA NA NA NA NA NA NA NA NA NA
"5084" NA NA NA NA NA NA 0 NA NA NA NA NA
"5095" NA NA NA NA NA 0 0 0 0 NA 0 NA
"5108" NA NA NA NA NA NA NA NA NA 0 NA NA
"5119" NA NA NA NA NA 0 NA NA NA NA NA NA
"5133" NA NA NA NA NA NA NA 0 0 NA 0 NA
