"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"8484" NA NA NA 0 NA NA NA NA NA NA NA NA
"8676" 0 NA NA NA NA NA NA NA NA NA NA NA
"8726" NA NA 0 NA NA NA NA NA NA NA NA NA
"8775" 0 NA 0 0 0 NA NA NA NA NA 0 0
"8776" 0 NA NA 0 NA NA NA NA NA NA NA NA
"8777" 0 NA 0 NA NA NA 0 NA NA NA NA NA
"8822" NA 0 NA NA NA NA NA NA NA NA NA NA
"8823" 0 NA NA NA NA NA NA NA NA NA NA NA
"8828" 0 NA NA NA NA NA NA NA NA NA NA NA
"8867" NA 0 0 NA NA NA NA NA 0 NA NA NA
"8868" NA 0 0 NA NA NA NA NA NA NA NA 0
"8872" NA NA NA NA NA NA 0 NA NA NA NA NA
"8913" 0 0 1 NA NA NA NA NA NA NA NA NA
"8914" 0 NA 0 NA NA NA 0 NA 0 NA NA NA
"9005" 0 NA NA NA NA NA NA NA NA NA NA NA
"9061" NA NA NA NA 0 NA NA NA NA NA NA 0
"9094" 0 NA NA NA NA NA NA NA NA NA NA NA
"9106" 0 NA NA NA NA NA NA NA NA NA NA NA
"9152" 0 NA 0 1 0 NA NA NA NA NA NA NA
"9178" NA NA 0 NA NA NA NA NA NA NA NA NA
"9195" NA 0 NA 0 NA NA NA NA 0 NA NA NA
"9221" 0 0 NA NA NA NA NA NA NA NA NA NA
"9223" NA 0 0 NA NA NA NA NA NA NA NA NA
"9238" NA NA 0 NA 1 NA NA NA NA NA NA NA
"9263" 0 NA NA NA NA NA NA NA NA NA NA NA
"9651" NA NA NA NA 1 NA NA NA NA NA NA NA
"10000" NA NA 1 NA NA NA NA NA NA NA NA NA
"10123" NA NA NA 0 NA NA NA NA NA NA NA NA
"10125" NA NA NA NA 0 NA NA NA NA NA NA NA
"10145" NA NA NA 1 NA NA NA NA NA NA NA NA
"10148" NA NA NA NA NA NA NA NA NA NA 0 NA
"10149" NA NA NA 1 NA NA NA NA NA NA NA NA
"10173" NA NA NA NA NA NA NA NA NA NA 0 NA
"10191" NA NA NA NA NA NA NA NA NA NA NA 0
"10195" NA NA 0 0 NA NA NA NA NA NA 0 NA
"10217" NA NA NA 0 0 NA NA NA NA NA NA NA
"10238" NA NA NA NA NA NA NA NA NA NA 0 NA
"10260" NA NA 0 NA NA 1 0 NA NA NA NA 0
"10284" NA NA 0 NA NA NA NA NA NA NA NA NA
"10302" NA NA NA NA NA NA NA NA NA NA NA 0
"10304" NA NA NA NA NA NA NA NA NA NA 0 NA
"10367" NA NA NA NA NA NA NA NA NA NA NA 0
"10369" NA NA NA NA NA NA NA 0 NA NA NA NA
"10370" 0 NA NA NA NA NA NA NA NA NA 0 NA
"10388" NA 0 NA NA NA NA NA NA NA NA NA NA
"10393" NA NA NA NA NA NA NA NA NA NA 0 NA
"10408" NA NA NA 0 NA NA NA NA NA NA NA NA
"10414" NA NA NA NA NA NA NA NA NA NA 0 NA
"10429" NA 0 NA NA NA NA NA NA NA NA NA NA
"10452" NA NA NA NA NA NA 0 NA NA NA NA NA
"10474" NA NA NA NA NA NA NA NA NA NA 0 NA
"10477" NA 0 NA NA NA NA NA NA NA NA NA NA
"10496" NA 0 NA NA NA NA NA NA NA NA NA NA
"10514" 0 0 NA NA NA NA NA NA NA NA NA NA
"10571" NA NA 0 0 NA NA NA NA NA NA 0 NA
"10588" NA NA NA NA NA NA NA NA NA NA 1 NA
"10590" NA NA NA 0 NA NA NA NA NA NA NA NA
"10608" NA NA NA NA NA NA NA NA NA 0 0 NA
"10609" NA NA 0 0 1 NA NA NA NA NA NA NA
"10626" NA 0 NA NA NA NA 0 NA NA NA NA NA
"10642" NA NA NA 1 NA NA NA NA NA NA NA NA
"10649" 0 0 0 0 NA NA NA NA NA NA 0 NA
"10671" NA NA 0 0 NA NA NA NA NA NA NA NA
"10691" 0 1 1 0 1 0 0 NA NA 0 NA NA
"10705" NA NA NA NA NA NA NA NA NA NA NA 0
"10708" NA NA NA 0 NA NA NA NA NA NA NA NA
"10728" NA 0 1 1 NA 1 0 NA NA NA NA 0
"10743" NA NA NA NA NA NA NA NA NA NA NA 0
"10745" NA 0 0 0 0 1 0 0 NA NA NA NA
"10763" NA 0 NA NA NA NA NA NA NA NA 0 NA
"10776" NA NA 1 NA NA NA NA NA NA NA NA NA
"10779" NA 1 NA NA 0 NA NA NA NA NA NA NA
"10780" NA 0 1 1 NA NA 1 NA NA NA 0 0
"10795" NA NA NA 0 NA NA NA NA NA NA NA NA
"10796" NA 0 NA NA NA NA NA NA NA NA NA NA
"10797" 0 NA 0 NA 0 NA 0 NA NA NA 0 NA
"10798" NA 0 NA NA NA NA NA NA NA NA NA NA
"10813" NA NA NA 1 NA NA NA NA NA NA NA NA
"10817" NA NA NA 1 NA NA NA NA NA NA NA NA
"10818" NA 0 0 NA 0 NA 1 NA NA NA NA 0
"10819" 0 NA 0 0 0 NA NA NA NA NA NA NA
"10820" NA NA NA 0 0 NA NA NA NA NA NA NA
"10821" NA NA NA 0 NA NA NA NA NA NA NA NA
"10840" NA NA NA NA NA 0 NA NA NA NA NA NA
"10841" NA NA NA 0 0 1 NA NA NA NA NA NA
"10842" NA NA 0 0 NA NA NA NA NA NA NA NA
"10858" NA 0 NA NA NA NA NA NA NA NA NA NA
"10859" 0 0 0 0 1 0 NA 0 NA NA 0 NA
"10860" NA NA NA 0 NA NA NA NA NA NA NA NA
"10880" NA NA 0 0 NA NA NA NA NA NA NA NA
"10881" NA NA 0 0 0 NA NA NA NA NA NA NA
"10903" NA 0 1 NA 0 1 0 NA NA NA NA NA
"10904" NA NA NA 0 0 NA NA NA NA NA NA NA
"10918" NA 0 NA NA NA NA NA NA NA NA NA NA
"10919" NA NA NA 1 NA NA NA NA NA NA NA NA
"10923" NA NA NA NA NA NA NA NA NA NA NA 0
"10925" NA 0 NA NA NA NA NA NA NA NA NA NA
"10944" NA NA NA 0 NA NA NA NA NA NA NA NA
"10971" NA NA NA 0 NA NA NA NA NA NA NA NA
"10972" NA NA NA NA 1 NA NA NA NA NA NA NA
"10979" NA NA NA NA 0 NA NA NA NA NA NA NA
"10982" NA NA NA NA NA NA 0 NA NA NA NA NA
"10990" NA NA 0 NA NA NA NA NA NA NA NA NA
"10995" NA NA NA 0 NA NA NA NA NA NA NA NA
"10997" NA NA NA 0 NA NA NA NA NA NA NA NA
"11006" NA NA NA NA 0 NA NA NA NA NA NA NA
"11008" NA NA NA NA NA NA 0 NA NA NA NA NA
"11019" NA NA 0 NA NA NA NA NA NA NA NA NA
"11023" 0 0 NA NA NA NA NA NA NA NA NA NA
"11032" NA NA NA NA 0 NA NA NA NA NA NA NA
"11034" NA NA NA NA 0 0 NA NA NA NA NA NA
"11036" NA NA NA NA NA 1 NA NA NA NA NA NA
"11049" NA NA 0 NA NA NA NA NA NA NA NA NA
"11050" 0 0 NA NA NA NA NA NA NA NA NA NA
"11059" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11061" NA NA NA 0 0 0 NA NA NA NA NA NA
"11076" NA 1 NA NA NA NA NA 0 NA NA NA NA
"11077" 0 0 NA NA NA NA NA NA NA NA NA NA
"11084" NA NA 0 NA NA NA NA NA NA NA NA NA
"11088" 0 NA NA NA NA NA NA 0 NA NA NA NA
"11089" NA NA NA NA NA NA NA 0 NA NA NA NA
"11090" NA NA NA NA 1 0 NA 0 NA NA NA NA
"11091" NA NA NA NA NA 0 NA NA NA NA NA NA
"11095" NA NA NA NA NA NA NA NA 0 NA NA NA
"11104" NA NA NA 0 NA NA NA NA NA NA NA NA
"11107" NA 0 NA NA NA NA NA NA NA NA NA 0
"11115" NA NA NA 0 NA NA NA NA 0 NA NA NA
